"Status","Seniority","Home","Time","Age","Marital","Records","Job","Expenses","Income","Assets","Debt","Amount","Price","Finrat","Savings","seniorityR","timeR","ageR","expensesR","incomeR","assetsR","debtR","amountR","priceR","finratR","savingsR"
"good",9,"rent",60,30,"married","no_rec","freelance",73,129,0,0,800,846,94.5626477541371,4.2,"sen (8,14]","time (48,99]","age (25,30]","exp (60,80]","inc (110,140]","asset (-1,0]","debt (-1,0]","am (600,900]","priz (0,1e+03]","finr (90,100]","sav (4,6]"
"good",17,"rent",60,58,"widow","no_rec","fixed",48,131,0,0,1000,1658,60.313630880579,4.98,"sen (14,99]","time (48,99]","age (50,99]","exp (40,50]","inc (110,140]","asset (-1,0]","debt (-1,0]","am (900,1.1e+03]","priz (1.5e+03,1.8e+03]","finr (50,70]","sav (4,6]"
"bad",10,"owner",36,46,"married","yes_rec","freelance",90,200,3000,0,2000,2985,67.001675041876,1.98,"sen (8,14]","time (24,36]","age (40,50]","exp (80,1e+04]","inc (190,1e+04]","asset (0,3e+03]","debt (-1,0]","am (1.4e+03,1e+05]","priz (1.8e+03,1e+05]","finr (50,70]","sav (0,2]"
"good",0,"rent",60,24,"single","no_rec","fixed",63,182,2500,0,900,1325,67.9245283018868,7.93333333333333,"sen (-1,1]","time (48,99]","age (0,25]","exp (60,80]","inc (140,190]","asset (0,3e+03]","debt (-1,0]","am (600,900]","priz (1.3e+03,1.5e+03]","finr (50,70]","sav (6,99]"
"good",0,"rent",36,26,"single","no_rec","fixed",46,107,0,0,310,910,34.0659340659341,7.08387096774194,"sen (-1,1]","time (24,36]","age (25,30]","exp (40,50]","inc (80,110]","asset (-1,0]","debt (-1,0]","am (0,600]","priz (0,1e+03]","finr (0,50]","sav (6,99]"
"good",1,"owner",60,36,"married","no_rec","fixed",75,214,3500,0,650,1645,39.5136778115502,12.8307692307692,"sen (-1,1]","time (48,99]","age (30,40]","exp (60,80]","inc (190,1e+04]","asset (3e+03,5e+03]","debt (-1,0]","am (600,900]","priz (1.5e+03,1.8e+03]","finr (0,50]","sav (6,99]"
"good",29,"owner",60,44,"married","no_rec","fixed",75,125,10000,0,1600,1800,88.8888888888889,1.875,"sen (14,99]","time (48,99]","age (40,50]","exp (60,80]","inc (110,140]","asset (8e+03,1e+06]","debt (-1,0]","am (1.4e+03,1e+05]","priz (1.5e+03,1.8e+03]","finr (80,90]","sav (0,2]"
"good",9,"parents",12,27,"single","no_rec","fixed",35,80,0,0,200,1093,18.2982616651418,2.7,"sen (8,14]","time (0,12]","age (25,30]","exp (0,40]","inc (0,80]","asset (-1,0]","debt (-1,0]","am (0,600]","priz (1e+03,1.3e+03]","finr (0,50]","sav (2,4]"
"good",0,"owner",60,32,"married","no_rec","freelance",90,107,15000,0,1200,1957,61.3183444047011,0.85,"sen (-1,1]","time (48,99]","age (30,40]","exp (80,1e+04]","inc (80,110]","asset (8e+03,1e+06]","debt (-1,0]","am (1.1e+03,1.4e+03]","priz (1.8e+03,1e+05]","finr (50,70]","sav (0,2]"
"bad",0,"parents",48,41,"married","no_rec","partime",90,80,0,0,1200,1468,81.7438692098093,-0.4,"sen (-1,1]","time (36,48]","age (40,50]","exp (80,1e+04]","inc (0,80]","asset (-1,0]","debt (-1,0]","am (1.1e+03,1.4e+03]","priz (1.3e+03,1.5e+03]","finr (80,90]","sav (-99,0]"
